FILESTATUS,CEER,STATEDIST,GRAD YR
ACCEPTED,562,LA05,2001
ACCEPTED,427,MS04,2001
ACCEPTED,536,TX08,2001
ACCEPTED,475,LA07,2001
ACCEPTED,548,IL15,2001
ACCEPTED,615,CA23,2001
ACCEPTED,552,VA11,2001
ACCEPTED,467,VA08,2001
ACCEPTED,548,VA07,2001
ACCEPTED,559,CA32,2001
ACCEPTED,593,OK01,2001
ACCEPTED,656,NJZZ,2001
ACCEPTED,624,NJ12,2001
ACCEPTED,561,GA11,2001
ACCEPTED,534,MI13,2001
ACCEPTED,546,TX04,2001
ACCEPTED,611,MI15,2001
ACCEPTED,590,VA07,2001
ACCEPTED,581,FL21,2001
ACCEPTED,583,KY03,2001
ACCEPTED,534,TX06,2001
ACCEPTED,522,TX06,2001
ACCEPTED,528,CA37,2001
ACCEPTED,676,TX04,2001
ACCEPTED,633,VA09,2001
ACCEPTED,625,MO07,2001
ACCEPTED,584,KY01,2001
ACCEPTED,541,NY05,2001
ACCEPTED,520,NJ11,2001
ACCEPTED,546,MD04,2001
ACCEPTED,552,AL06,2001
ACCEPTED,558,MA07,2001
ACCEPTED,590,MO01,2001
ACCEPTED,551,TX20,2001
ACCEPTED,535,NY01,2001
ACCEPTED,450,GA02,2001
ACCEPTED,579,WI05,2001
ACCEPTED,556,VA01,2001
ACCEPTED,439,GA04,2001
ACCEPTED,528,IL06,2001
ACCEPTED,586,NJ03,2001
ACCEPTED,609,TX22,2002
ACCEPTED,555,FL04,2002
ACCEPTED,577,FL20,2002
ACCEPTED,589,NY07,2002
ACCEPTED,430,FL17,2002
ACCEPTED,528,OH04,2002
ACCEPTED,522,VA08,2002
ACCEPTED,560,AL07,2002
ACCEPTED,592,CA37,2002
ACCEPTED,585,IL17,2002
ACCEPTED,545,LA07,2002
ACCEPTED,520,MD04,2002
VOID,0,GA06,2002
ACCEPTED,578,AL03,2002
ACCEPTED,613,FL15,2002
ACCEPTED,449,MI15,2002
ACCEPTED,544,CA04,2002
ACCEPTED,497,MD06,2002
ACCEPTED,604,AL05,2002
ACCEPTED,568,NJ03,2002
ACCEPTED,573,IL20,2002
ACCEPTED,510,IL08,2002
ACCEPTED,471,MD06,2002
ACCEPTED,601,WA06,2002
ACCEPTED,517,TX22,2002
ACCEPTED,517,NC08,2002
ACCEPTED,497,NY21,2002
ACCEPTED,550,KS02,2002
ACCEPTED,601,TX30,2002
ACCEPTED,522,DCOL,2002
ACCEPTED,535,NC03,2002
ACCEPTED,564,MD04,2002
ACCEPTED,456,MD05,2002
ACCEPTED,617,MA09,2002
DISQUALIFIED,0,CA51,2002
ACCEPTED,622,PA21,2002
VOID,0,MI12,2002
ACCEPTED,549,NJ06,2002
ACCEPTED,602,TX18,2002
ACCEPTED,520,GUAL,2002
ACCEPTED,529,SC02,2002
ACCEPTED,576,AR04,2002
ACCEPTED,536,NC08,2002
ACCEPTED,538,SC06,2002
ACCEPTED,597,AL01,2002
ACCEPTED,663,FL09,2002
ACCEPTED,524,AL07,2002
ACCEPTED,517,NC09,2002
ACCEPTED,564,TX02,2002
ACCEPTED,535,GA03,2002
ACCEPTED,546,AL06,2002
ACCEPTED,538,AL01,2002
ACCEPTED,566,FL17,2002
ACCEPTED,547,VA01,2002
ACCEPTED,543,MD07,2002
ACCEPTED,499,PA20,2002
ACCEPTED,572,FL03,2002
ACCEPTED,612,CA42,2002
ACCEPTED,563,AZ02,2002
ACCEPTED,598,OH08,2002
ACCEPTED,622,TX09,2002
DISQUALIFIED,559,CA28,2002
ACCEPTED,544,DCOL,2002
ACCEPTED,573,MD01,2002
ACCEPTED,529,NY06,2002
ACCEPTED,514,CA25,2002
ACCEPTED,569,PA10,2002
ACCEPTED,548,IN02,2002
ACCEPTED,572,IN10,2002
ACCEPTED,635,MD02,2002
DISQUALIFIED,424,MS04,2002
ACCEPTED,562,MA05,2002
ACCEPTED,593,GA08,2002
ACCEPTED,677,LA02,2002
ACCEPTED,518,AR02,2002
ACCEPTED,574,CA50,2002
ACCEPTED,591,LA01,2002
ACCEPTED,470,MDZZ,2002
ACCEPTED,566,VA02,2002
ACCEPTED,531,NY01,2002
ACCEPTED,531,MD06,2002
ACCEPTED,550,NV01,2002
ACCEPTED,443,TXZZ,2002
ACCEPTED,519,MI08,2002
ACCEPTED,593,FL17,2002
ACCEPTED,619,MA07,2002
ACCEPTED,615,AL06,2002
UNRESOLVED,0,WI04,2002
ACCEPTED,503,IL02,2002
ACCEPTED,517,AL01,2002
ACCEPTED,510,NJ02,2002
ACCEPTED,524,NY27,2002
ACCEPTED,547,DCOL,2002
ACCEPTED,516,OR24,2002
ACCEPTED,547,MD05,2002
ACCEPTED,451,AL05,2002
ACCEPTED,558,SC04,2002
ACCEPTED,540,OH15,2002
ACCEPTED,525,NC03,2002
ACCEPTED,576,NJ03,2002
ACCEPTED,537,MD04,2002
ACCEPTED,540,KY06,2002
ACCEPTED,591,IL18,2002
ACCEPTED,572,NY10,2002
ACCEPTED,601,SC02,2002
ACCEPTED,491,NJZZ,2002
ACCEPTED,563,FL18,2002
ACCEPTED,622,FL18,2002
ACCEPTED,566,NY06,2002
ACCEPTED,541,NJ01,2002
ACCEPTED,546,GA04,2002
VOID,437,MI16,2002
VOID,568,MI03,2002
ACCEPTED,582,FL01,2002
ACCEPTED,493,CA40,2002
ACCEPTED,613,SC04,2002
ACCEPTED,543,TX16,2002
ACCEPTED,540,MS04,2002
ACCEPTED,610,TX13,2002
ACCEPTED,517,CA40,2002
VOID,408,TX24,2002
ACCEPTED,582,SC04,2002
ACCEPTED,489,MS04,2003
DISQUALIFIED,506,NY03,2003
DISQUALIFIED,473,NY15,2003
DISQUALIFIED,584,CA43,2003
ACCEPTED,491,OH01,2003
ACCEPTED,500,MD08,2003
VOID,0,MIZZ,2003
DISQUALIFIED,432,TN09,2003
ACCEPTED,587,NY03,2003
ACCEPTED,573,TX20,2003
ACCEPTED,567,NJ07,2003
DISQUALIFIED,465,NY26,2003
ACCEPTED,500,NJ08,2003
ACCEPTED,479,TX10,2003
DISQUALIFIED,462,GA06,2003
ACCEPTED,481,NY17,2003
ACCEPTED,510,GA08,2003
ACCEPTED,499,PA02,2003
ACCEPTED,516,OH14,2003
ACCEPTED,591,MD01,2003
UNRESOLVED,428,GA06,2003
DISQUALIFIED,512,GA06,2003
ACCEPTED,622,SC02,2003
DISQUALIFIED,499,TX07,2003
ACCEPTED,563,FL17,2003
VOID,461,FL08,2003
ACCEPTED,513,WI04,2003
DISQUALIFIED,516,SC06,2003
ACCEPTED,498,NJZZ,2003
ACCEPTED,531,MI14,2003
ACCEPTED,608,AL02,2003
ACCEPTED,582,CT06,2003
DISQUALIFIED,436,NC09,2003
ACCEPTED,354,DEAL,2003
DISQUALIFIED,502,IL08,2003
ACCEPTED,496,AL07,2003
DISQUALIFIED,559,AL03,2003
ACCEPTED,572,MO09,2003
DISQUALIFIED,340,LA07,2003
UNRESOLVED,461,TN07,2003
UNRESOLVED,555,AL02,2003
DISQUALIFIED,488,WI05,2003
ACCEPTED,616,WV02,2003
ACCEPTED,512,GA04,2003
ACCEPTED,538,NC12,2003
ACCEPTED,475,VA08,2003
ACCEPTED,554,TX30,2003
ACCEPTED,488,PA04,2003
ACCEPTED,533,CA47,2003
ACCEPTED,590,OR02,2003
DISQUALIFIED,451,MI14,2003
UNRESOLVED,426,TN09,2003
ACCEPTED,605,NY04,2003
DISQUALIFIED,543,TX16,2003
ACCEPTED,552,GA02,2003
ACCEPTED,586,NJ06,2003
DISQUALIFIED,475,VA08,2003
DISQUALIFIED,545,MD05,2003
DISQUALIFIED,479,MI11,2003
ACCEPTED,586,TN09,2003
ACCEPTED,598,TN02,2003
ACCEPTED,580,MD04,2003
UNRESOLVED,438,FL11,2003
DISQUALIFIED,583,CA50,2003
ACCEPTED,505,GA06,2003
ACCEPTED,564,GA08,2003
VOID,428,VA01,2003
ACCEPTED,575,MD04,2003
UNRESOLVED,507,MD04,2003
UNRESOLVED,448,DEAL,2003
ACCEPTED,541,MI15,2003
UNRESOLVED,545,VA08,2003
ACCEPTED,517,FL03,2003
ACCEPTED,494,KS03,2003
DISQUALIFIED,462,NJ10,2003
ACCEPTED,559,NY04,2003
ACCEPTED,598,FL23,2003
ACCEPTED,540,VA08,2003
DISQUALIFIED,498,TX08,2003
DISQUALIFIED,444,VA07,2003
ACCEPTED,554,NY18,2003
ACCEPTED,532,IL14,2003
DISQUALIFIED,478,MD04,2003
ACCEPTED,478,NY20,2003
ACCEPTED,442,FL04,2003
ACCEPTED,485,TX28,2003
ACCEPTED,573,AZ05,2003
ACCEPTED,541,CA50,2003
UNRESOLVED,386,FL01,2003
ACCEPTED,558,NC07,2003
ACCEPTED,527,IN02,2003
ACCEPTED,619,VA08,2003
ACCEPTED,523,FL06,2003
ACCEPTED,576,GA03,2003
ACCEPTED,601,SC01,2003
DISQUALIFIED,505,NJ06,2003
DISQUALIFIED,468,NY21,2003
UNRESOLVED,0,MD07,2003
ACCEPTED,598,GA05,2003
DISQUALIFIED,518,OH01,2003
ACCEPTED,600,VA11,2003
ACCEPTED,523,IL20,2003
ACCEPTED,502,NCZZ,2003
ACCEPTED,398,NJZZ,2003
ACCEPTED,562,MD05,2003
ACCEPTED,569,OH14,2003
ACCEPTED,646,NY07,2003
ACCEPTED,616,MD04,2003
DISQUALIFIED,437,VA10,2003
ACCEPTED,499,MD04,2003
ACCEPTED,553,CA01,2003
ACCEPTED,534,LA04,2003
ACCEPTED,463,MI14,2003
ACCEPTED,479,NY17,2003
ACCEPTED,501,MS04,2003
DISQUALIFIED,491,NC05,2003
ACCEPTED,402,CT03,2003
DISQUALIFIED,429,CO05,2003
ACCEPTED,624,CA25,2003
ACCEPTED,512,NY07,2003
ACCEPTED,569,WA09,2003
DISQUALIFIED,490,CA41,2003
DISQUALIFIED,564,IL17,2003
ACCEPTED,505,MD04,2003
DISQUALIFIED,433,KY02,2003
ACCEPTED,549,IN10,2003
DISQUALIFIED,546,PA19,2003
ACCEPTED,517,GA03,2003
DISQUALIFIED,395,CA42,2003
ACCEPTED,503,GA05,2003
VOID,0,TX22,2003
ACCEPTED,605,GA05,2003
DISQUALIFIED,516,CO05,2003
ACCEPTED,605,MI01,2003
DISQUALIFIED,459,MD01,2003
UNRESOLVED,497,SC06,2003
UNRESOLVED,0,MI16,2003
VOID,534,TX06,2003
DISQUALIFIED,474,CA14,2003
ACCEPTED,516,VA07,2003
ACCEPTED,602,FL08,2003
DISQUALIFIED,512,CA25,2003
DISQUALIFIED,461,LA04,2003
DISQUALIFIED,565,OH13,2003
ACCEPTED,499,MO08,2003
ACCEPTED,573,NY21,2003
ACCEPTED,570,CA01,2003
ACCEPTED,538,TN09,2003
DISQUALIFIED,608,FL17,2003
DISQUALIFIED,480,GA02,2003
ACCEPTED,524,GA05,2003
DISQUALIFIED,531,CA36,2003
UNRESOLVED,0,MI14,2003
DISQUALIFIED,463,MS05,2004
ACCEPTED,536,NY06,2004
VOID,0,VA02,2004
DISQUALIFIED,469,VA11,2004
DISQUALIFIED,474,NJ12,2004
ACCEPTED,506,NY03,2004
DISQUALIFIED,521,AL02,2004
ACCEPTED,473,NY15,2004
ACCEPTED,584,CA43,2004
ACCEPTED,561,GA03,2004
ACCEPTED,477,TN09,2004
ACCEPTED,649,VA01,2004
ACCEPTED,614,VA08,2004
DISQUALIFIED,613,TX16,2004
UNRESOLVED,479,CA23,2004
ACCEPTED,465,NY26,2004
VOID,410,VA10,2004
ACCEPTED,537,SC04,2004
VOID,449,VA01,2004
ACCEPTED,588,FL17,2004
ACCEPTED,520,MD07,2004
ACCEPTED,479,GA06,2004
ACCEPTED,584,CA25,2004
UNRESOLVED,563,IN01,2004
QUALIFIED,526,MD02,2004
ACCEPTED,494,GA06,2004
VOID,0,TN03,2004
UNRESOLVED,477,AL02,2004
ACCEPTED,551,GA06,2004
ACCEPTED,491,TX07,2004
DISQUALIFIED,514,NJ10,2004
DISQUALIFIED,547,GA05,2004
UNRESOLVED,432,FL12,2004
UNRESOLVED,514,IL15,2004
DISQUALIFIED,475,FL08,2004
ACCEPTED,497,NY23,2004
ACCEPTED,529,SC06,2004
DISQUALIFIED,518,VA01,2004
ACCEPTED,444,NC09,2004
UNRESOLVED,501,FL11,2004
UNRESOLVED,479,RI01,2004
ACCEPTED,502,IL08,2004
ACCEPTED,617,CA37,2004
ACCEPTED,559,AL03,2004
ACCEPTED,535,NY20,2004
ACCEPTED,627,MD05,2004
ACCEPTED,563,CA41,2004
UNRESOLVED,454,VA11,2004
ACCEPTED,592,TX11,2004
ACCEPTED,514,TN07,2004
DISQUALIFIED,493,AL01,2004
ACCEPTED,604,AL02,2004
ACCEPTED,548,AL07,2004
DISQUALIFIED,513,NY08,2004
ACCEPTED,474,WI05,2004
DISQUALIFIED,400,WI05,2004
ACCEPTED,497,TX20,2004
UNRESOLVED,555,NY29,2004
ACCEPTED,557,DCOL,2004
DISQUALIFIED,457,GA10,2004
ACCEPTED,480,FL03,2004
ACCEPTED,542,PA14,2004
ACCEPTED,582,OH01,2004
ACCEPTED,490,MI14,2004
ACCEPTED,453,TN09,2004
VOID,443,SC06,2004
ACCEPTED,543,TX16,2004
DISQUALIFIED,492,GA10,2004
ACCEPTED,475,TX29,2004
ACCEPTED,468,VA08,2004
ACCEPTED,556,MD05,2004
ACCEPTED,527,MI11,2004
ACCEPTED,601,TX11,2004
ACCEPTED,570,CA28,2004
ACCEPTED,598,DCOL,2004
DISQUALIFIED,486,CA10,2004
ACCEPTED,643,CA44,2004
UNRESOLVED,576,TX03,2004
ACCEPTED,534,FL11,2004
DISQUALIFIED,542,CA26,2004
ACCEPTED,570,CA50,2004
VOID,536,GA06,2004
ACCEPTED,507,MD04,2004
UNRESOLVED,419,DEAL,2004
ACCEPTED,545,NY19,2004
ACCEPTED,575,VA10,2004
ACCEPTED,545,VA08,2004
UNRESOLVED,467,AL01,2004
ACCEPTED,512,NY30,2004
DISQUALIFIED,539,TX05,2004
ACCEPTED,637,RI02,2004
ACCEPTED,480,NJ10,2004
ACCEPTED,583,GA05,2004
DISQUALIFIED,542,TX20,2004
DISQUALIFIED,561,GA08,2004
ACCEPTED,487,TX08,2004
UNRESOLVED,626,NY19,2004
ACCEPTED,587,SC04,2004
ACCEPTED,456,VA07,2004
UNRESOLVED,0,MD04,2004
ACCEPTED,598,OH07,2004
DISQUALIFIED,537,MD05,2004
ACCEPTED,630,VA07,2004
ACCEPTED,410,MD04,2004
DISQUALIFIED,446,OK04,2004
DISQUALIFIED,524,MD04,2004
ACCEPTED,386,FL01,2004
DISQUALIFIED,456,VA05,2004
DISQUALIFIED,464,IN05,2004
ACCEPTED,579,VA11,2004
ACCEPTED,633,VA11,2004
ACCEPTED,490,TX25,2004
DISQUALIFIED,427,NJ05,2004
UNRESOLVED,401,KS03,2004
DISQUALIFIED,490,IL18,2004
ACCEPTED,531,NJ06,2004
ACCEPTED,494,NY21,2004
ACCEPTED,504,VA11,2004
ACCEPTED,508,GA13,2004
ACCEPTED,518,OH01,2004
ACCEPTED,559,NC07,2004
VOID,0,FL17,2004
ACCEPTED,675,KY03,2004
ACCEPTED,554,FL01,2004
ACCEPTED,632,MO07,2004
ACCEPTED,630,FL19,2004
ACCEPTED,461,VA10,2004
ACCEPTED,532,NC05,2004
ACCEPTED,488,CO05,2004
DISQUALIFIED,458,LA04,2004
DISQUALIFIED,504,NJ06,2004
ACCEPTED,508,CA41,2004
ACCEPTED,660,TX09,2004
ACCEPTED,583,IL17,2004
ACCEPTED,475,KY02,2004
DISQUALIFIED,483,AKAL,2004
DECLINED,589,OH09,2004
ACCEPTED,622,PA19,2004
ACCEPTED,576,SC01,2004
ACCEPTED,438,CA42,2004
ACCEPTED,554,VA04,2004
ACCEPTED,467,GA07,2004
ACCEPTED,516,CO05,2004
VOID,61,IL01,2004
ACCEPTED,548,FL07,2004
DISQUALIFIED,494,NY20,2004
DISQUALIFIED,419,FL03,2004
ACCEPTED,510,MD01,2004
ACCEPTED,501,SC06,2004
UNRESOLVED,466,IN01,2004
ACCEPTED,443,MI16,2004
UNRESOLVED,497,NC01,2004
ACCEPTED,506,TX25,2004
DISQUALIFIED,516,TX06,2004
ACCEPTED,516,KS03,2004
UNRESOLVED,471,GA04,2004
ACCEPTED,570,CA14,2004
DISQUALIFIED,469,TX18,2004
UNRESOLVED,440,VA02,2004
DISQUALIFIED,474,MI06,2004
DISQUALIFIED,450,NDAL,2004
ACCEPTED,646,FL08,2004
VOID,448,VA02,2004
ACCEPTED,502,CA25,2004
DISQUALIFIED,490,AL05,2004
ACCEPTED,479,LA04,2004
DISQUALIFIED,463,NY25,2004
ACCEPTED,580,OH13,2004
UNRESOLVED,0,MD04,2004
ACCEPTED,608,FL17,2004
ACCEPTED,527,GA02,2004
ACCEPTED,531,CA36,2004
ACCEPTED,451,MI14,2004
VOID,0,NY05,2005
DISQUALIFIED,489,RI01,2005
ACCEPTED,565,MS05,2005
VOID,421,MS02,2005
UNRESOLVED,0,GA02,2005
ACCEPTED,494,LA03,2005
UNRESOLVED,0,NY06,2005
UNRESOLVED,480,PA01,2005
VOID,0,MD04,2005
ACCEPTED,557,TX02,2005
ACCEPTED,469,VA11,2005
ACCEPTED,479,NJ12,2005
ACCEPTED,521,AL02,2005
UNRESOLVED,541,VA11,2005
ACCEPTED,588,NY01,2005
VOID,432,CA38,2005
ACCEPTED,640,VA03,2005
ACCEPTED,495,CA41,2005
DISQUALIFIED,529,MD04,2005
VOID,353,GA05,2005
ACCEPTED,621,TX16,2005
UNRESOLVED,0,MS04,2005
ACCEPTED,497,CA23,2005
UNRESOLVED,453,VA10,2005
UNRESOLVED,489,TX03,2005
ACCEPTED,516,GA06,2005
ACCEPTED,586,VA08,2005
VOID,449,VA01,2005
ACCEPTED,516,MI07,2005
ACCEPTED,559,TX30,2005
ACCEPTED,628,IN01,2005
DISQUALIFIED,530,TN09,2005
ACCEPTED,551,MD02,2005
ACCEPTED,525,VA11,2005
DISQUALIFIED,499,DCOL,2005
ACCEPTED,566,GA05,2005
ACCEPTED,647,NY19,2005
ACCEPTED,529,MD05,2005
ACCEPTED,505,MD06,2005
VOID,387,TN03,2005
ACCEPTED,531,AL02,2005
UNRESOLVED,490,FL17,2005
ACCEPTED,508,NJ10,2005
ACCEPTED,551,CA16,2005
ACCEPTED,561,GA05,2005
ACCEPTED,441,FL12,2005
ACCEPTED,591,CA41,2005
ACCEPTED,501,FL08,2005
VOID,389,MS02,2005
VOID,0,MA02,2005
VOID,643,SC01,2005
ACCEPTED,548,VA01,2005
ACCEPTED,564,FL13,2005
UNRESOLVED,450,MD04,2005
ACCEPTED,501,FL11,2005
UNRESOLVED,0,GA04,2005
ACCEPTED,498,RI01,2005
ACCEPTED,581,NC07,2005
DISQUALIFIED,572,MD05,2005
UNRESOLVED,483,WI05,2005
ACCEPTED,635,GA05,2005
ACCEPTED,558,AL01,2005
UNRESOLVED,505,CA07,2005
UNRESOLVED,455,MD05,2005
UNRESOLVED,0,TX22,2005
ACCEPTED,515,NY08,2005
UNRESOLVED,0,FL19,2005
DISQUALIFIED,451,WI05,2005
UNRESOLVED,601,TN07,2005
UNRESOLVED,0,CA25,2005
ACCEPTED,510,AL05,2005
ACCEPTED,518,GA10,2005
ACCEPTED,589,NY12,2005
UNRESOLVED,523,TX16,2005
DISQUALIFIED,483,MO01,2005
ACCEPTED,489,GA10,2005
ACCEPTED,557,NY11,2005
UNRESOLVED,512,NY04,2005
UNRESOLVED,405,SC06,2005
ACCEPTED,554,TX29,2005
UNRESOLVED,0,GA01,2005
VOID,0,VA11,2005
UNRESOLVED,424,AZ03,2005
ACCEPTED,586,KS02,2005
UNRESOLVED,470,CA09,2005
UNRESOLVED,0,AL04,2005
UNRESOLVED,520,DCOL,2005
UNRESOLVED,456,SC03,2005
ACCEPTED,478,CA10,2005
DISQUALIFIED,486,IN10,2005
ACCEPTED,642,TX03,2005
UNRESOLVED,548,CA26,2005
ACCEPTED,544,CA26,2005
ACCEPTED,472,VA10,2005
UNRESOLVED,481,NC01,2005
VOID,0,SC06,2005
VOID,0,AL07,2005
UNRESOLVED,657,NM02,2005
UNRESOLVED,0,MS03,2005
ACCEPTED,576,CA05,2005
ACCEPTED,448,DEAL,2005
UNRESOLVED,499,SC05,2005
ACCEPTED,505,FL21,2005
DISQUALIFIED,495,VA08,2005
ACCEPTED,495,MS03,2005
ACCEPTED,607,AL01,2005
ACCEPTED,566,TX05,2005
UNRESOLVED,523,MD05,2005
ACCEPTED,556,TX20,2005
ACCEPTED,506,CA47,2005
ACCEPTED,575,VA04,2005
ACCEPTED,565,GA08,2005
UNRESOLVED,0,VIAL,2005
VOID,505,CA09,2005
DISQUALIFIED,547,CA35,2005
ACCEPTED,618,NY19,2005
ACCEPTED,551,MD05,2005
ACCEPTED,493,OK04,2005
ACCEPTED,543,MD04,2005
ACCEPTED,624,GA01,2005
ACCEPTED,614,MD04,2005
ACCEPTED,481,VA05,2005
ACCEPTED,496,IN05,2005
VOID,492,NJ08,2005
UNRESOLVED,562,NY16,2005
ACCEPTED,494,NJ05,2005
UNRESOLVED,0,MS02,2005
UNRESOLVED,0,TX05,2005
ACCEPTED,547,KS02,2005
ACCEPTED,514,NJ04,2005
ACCEPTED,481,NJ05,2005
ACCEPTED,632,MD04,2005
ACCEPTED,509,IL18,2005
UNRESOLVED,0,IL08,2005
DISQUALIFIED,542,NY13,2005
ACCEPTED,581,MI11,2005
ACCEPTED,418,PA04,2005
VOID,0,FL17,2005
VOID,408,OH03,2005
UNRESOLVED,494,VA11,2005
UNRESOLVED,0,FL04,2005
ACCEPTED,657,FL03,2005
ACCEPTED,569,NY06,2005
UNRESOLVED,499,PA01,2005
VOID,380,FL02,2005
DISQUALIFIED,534,LA04,2005
ACCEPTED,588,MA01,2005
ACCEPTED,533,TX20,2005
UNRESOLVED,470,NY13,2005
ACCEPTED,497,LA04,2005
ACCEPTED,510,NJ06,2005
ACCEPTED,526,TX18,2005
ACCEPTED,514,AKAL,2005
ACCEPTED,505,FL05,2005
VOID,501,NJ08,2005
DISQUALIFIED,454,OK04,2005
UNRESOLVED,459,VA02,2005
ACCEPTED,542,NY20,2005
ACCEPTED,502,FL03,2005
ACCEPTED,546,NY04,2005
ACCEPTED,605,AL05,2005
UNRESOLVED,0,AR04,2005
ACCEPTED,578,NJ13,2005
DISQUALIFIED,461,NY02,2005
UNRESOLVED,573,NY26,2005
UNRESOLVED,438,IN01,2005
UNRESOLVED,0,VA03,2005
ACCEPTED,501,NC01,2005
VOID,453,NC06,2005
ACCEPTED,516,TX06,2005
ACCEPTED,573,GA04,2005
ACCEPTED,597,IN04,2005
ACCEPTED,558,TX18,2005
UNRESOLVED,0,VA08,2005
ACCEPTED,551,VA02,2005
UNRESOLVED,474,MI06,2005
DISQUALIFIED,526,GA13,2005
UNRESOLVED,491,GA04,2005
DISQUALIFIED,529,VA08,2005
ACCEPTED,636,CT01,2005
ACCEPTED,502,NDAL,2005
ACCEPTED,508,AL05,2005
ACCEPTED,518,NY25,2005
ACCEPTED,590,CA05,2005
UNRESOLVED,0,MD04,2005
UNRESOLVED,470,FL19,2005
UNRESOLVED,496,CA05,2005
VOID,587,SC02,2005
VOID,524,GA05,2005
UNRESOLVED,497,PA02,2005
ACCEPTED,527,RI01,2006
UNRESOLVED,483,AR03,2006
VOID,403,MS02,2006
ACCEPTED,519,PA01,2006
VOID,0,NY07,2006
UNRESOLVED,479,MD04,2006
ACCEPTED,597,VA04,2006
