Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Many,The Diversity of Life on Earth,,,Nicola Davies,"Davies, Nicola",,,,Candlewick Press,11/7/2017,2017,Juvenile Nonfiction,,,"After magnifying the beauty of unseen organisms in Tiny Creatures, Nicola Davies and Emily Sutton turn their talents to the vast variety of life on Earth.  The more we study the world around us, the more living things we discover every day. The planet is full of millions of species of plants, birds, animals, and microbes, and every single one -- including us -- is part of a big, beautiful, complicated pattern. When humans interfere with parts of the pattern, by polluting the air and oceans, taking too much from the sea, and cutting down too many forests, animals and plants begin to disappear. What sort of world would it be if it went from having many types of living things to having just one? In a beautiful follow-up, the creators of the award-winning Tiny Creatures: The World of Microbes deliver an inspiring look at the extraordinary diversity of Earth's inhabitants -- and the importance of their preservation.",,,,,,,,40,,,,,English,,,,9.78076E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,piQtDwAAQBAJ,,0,,
Soccer Beat,,,,Sandra Gilbert Brug,"Brug, Sandra Gilbert",,,,Simon and Schuster,,2003,Juvenile Fiction,,,"The Rockets and Cheetahs, two spunky multi-animal teams, square off in this high energy, fast-paced game of soccer. Who will win this soccer meet? Full color.",,,,,,,,32,,,,,English,,,,9.78069E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,CNgq_GmiubkC,,0,,
Spring is here!,,,,Will Hillenbrand,"Hillenbrand, Will",,,,Holiday House,,2011,Bears,,,,,,,,,,,,,,,,,,,,9.78082E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,http://images.amazon.com/images/P/082341602X.01Z.jpg,
"Steve, Raised by Wolves",,,,Jared Chapman,"Chapman, Jared",,,,"Little, Brown Books for Young Readers",9/1/2015,2015,Juvenile Fiction,,,"On the first day of school, a wild little boy learns how to fit in--and how to stand out! Just right for fans of Peter Brown's Mr. Tiger Goes Wild.""Be yourself!"" Steve's mom tells him on the first day of school, and he knows just what to do. After all, wolves are great at HOWLING in class, SHREDDING homework, and POUNCING on new friends!Steve's classmates are not happy. Why can't he behave like everyone else? But when the classroom pet goes missing, it's up to Steve to save the day--by showing everyone what wolves do best.",,,,,,,,40,,,,,English,,,,9.78032E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,Q6acoAEACAAJ,,0,,
Supertruck,,,,Stephen Savage,"Savage, Stephen",,,,Macmillan,1/6/2015,2015,Juvenile Fiction,,,"When the city is hit by a colossal snowstorm, only one superhero can save the day. But who is this mysterious hero, and why does he disappear once his job is done?Find out in this snowy tale about a little truck with a very big job, the second of Stephen Savage's vehicle-based picture books.",,,,,,,,32,,,,,English,,,,9.7816E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,BCvTBAAAQBAJ,,0,,
The Berenstain bears and the bad habit,,,,Stan Berenstain,"Berenstain, Stan",,,,Random House,,1986,,,,,,,,,,,,32,,,,,,,,,9.78083E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,http://images.amazon.com/images/P/0833506781.01Z.jpg,
The Code Book: The Secret History of Codes and Code-breaking,The Secret History of Codes and Code-breaking,,,Simon Singh,"Singh, Simon",,,,HarperCollins Publishers,6/23/2010,2010,Science,,,"The Science of Secrecy from Ancient Egypt to Quantum Cryptography From the best-selling author of Fermat’s Last Theorem, The Code Book is a history of man’s urge to uncover the secrets of codes, from Egyptian puzzles to modern day computer encryptions. As in Fermat’s Last Theorem, Simon Singh brings life to an anstonishing story of puzzles, codes, languages and riddles that reveals man’s continual pursuit to disguise and uncover, and to work out the secret languages of others. Codes have influenced events throughout history, both in the stories of those who make them and those who break them. The betrayal of Mary Queen of Scots and the cracking of the enigma code that helped the Allies in World War II are major episodes in a continuing history of cryptography. In addition to stories of intrigue and warfare, Simon Singh also investigates other codes, the unravelling of genes and the rediscovery of ancient languages and most tantalisingly, the Beale ciphers, an unbroken code that could hold the key to a $20 million treasure. Note that it has not been possible to include the same picture content that appeared in the original print version.",,,,,,,,416,,,,,English,,,,9.78001E+12,0,0,,Unread,,,,,,,0,,,,,,,,,,MPntmEiwjTkC,Personal,0,,
The Giving Tree,,,,Shel Silverstein,"Silverstein, Shel",,,,HarperCollins,10/7/1964,1964,Juvenile Fiction,,,"'Once there was a tree...and she loved a little boy.' So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein. Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave. This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of another's capacity to love in return. Ages 10+",,,,,,,,64,,,,,English,,,,9.78006E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,dXLWAAAAMAAJ,,0,,
When Rain Falls,,,,Melissa Stewart,"Stewart, Melissa",,,,Peachtree,,2008,Juvenile Nonfiction,,,"A colorful look at the amazing ways animals behave and interact with their environments on a rainy day.We go inside when the rain comes down, but where do animals go? That depends on the kind of animal and where it lives. Bees hide in hives and ants stay safe in underground nests. Squirrels pull their long bushy tails over their heads like umbrellas. Caterpillars crawl under leaves. This new book for young readers offers a first glimpse at how different animals in different habitats behave during a thunderstorm.In simple, easy-to-understand language, veteran children's book author Melissa Stewart takes a lyrical look at the behavior of animals in forests, fields, wetlands, and deserts and briefly describes how each creature interacts with its rained-soaked environment. Constance Bergum's soft watercolor paintings colorfully depict the animals and special features of each habitat. Individual sidebar and panel illustrations provide close-up details of the natural world.",,,,,,,,32,,,,,English,,,,9.78156E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,z-vkHwAACAAJ,,0,,
When we go camping,,,,Margriet Ruurs,"Ruurs, Margriet",,,,Tundra,,2001,Fiction,,,,,,,,,,,32,,,,,,,,,9.78089E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,https://covers.openlibrary.org/b/id/685302-L.jpg,
