id,date,country,city,perp_group,fatalities,injured,target_type,region,attack_type,weapon_type,links,summary,taggedTopic
201407210009,2014-07-21,Pakistan,Quetta,Muslim extremists,0,4,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201407210009,"Assailants threw acid in the faces of four women while they were shopping in Killi Kamalu area, Quetta city, Balochistan province, Pakistan. The women were injured in the attack. No group claimed responsibility; however, sources attributed the incident to Muslim fundamentalists.",acid
201309130041,2013-09-13,Tanzania,Zanzibar,Unknown,0,1,Religious Figures/Institutions,Sub-Saharan Africa,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201309130041,"Assailants threw acid on Joseph Mang'amba in Zanzibar city, Zanzibar Urban district, Tanzania. Mang'amba, a Catholic priest, was injured in the incident. No group claimed responsibility for the attack.",acid
201308080008,2013-08-08,Tanzania,Zanzibar,Unknown,0,2,Educational Institution,Sub-Saharan Africa,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201308080008,"Two assailants on motorcycles threw acid on Katie Gee and Kirstie Trup in Stone town, Zanzibar city, Mjini Magharibi region, Tanzania. Gee and Trup, both volunteer teachers from Britain, were injured in the attack. No group claimed responsibility for the incident; however, Sheikh Issa Ponda Issa was arrested for involvement in the attack.",acid
201308010046,2013-08-01,Pakistan,Hyderabad,Unknown,0,1,Educational Institution,South Asia,Armed Assault,"Firearms,Chemical",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201308010046,"Assailants opened fire on and threw acid at Alia Khalid Ali in Latifabad area, Pakistan. Ali, a principal of a private school, was injured in the attack. No group claimed responsibility for the incident.",acid
201304120025,2013-04-12,Taiwan,New Taipei,Unknown,0,0,Government (General),East Asia,Bombing/Explosion,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201304120025,"Two suitcase bombs were found in the office of Taiwanese legislator Lu Chia-chen in Tucheng area, New Taipei City, New Taipei City special municipality, Taiwan. The explosive devices failed to explode. Two people, Hu Tsung-hsian and Chu Ya-dong, were arrested on April 16th, 2013 in connection with the attack.",acid
201303100019,2013-03-09,India,Kotmara,Unknown,0,4,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201303100019,"An assailant threw acid onto four girls returning from a religious discourse in Kotmara village, Chhattisgarh, India. No group claimed responsibility for the incident, however an individual was detained for the attack.",acid
201302150003,2013-02-15,Nigeria,Maiduguri,Boko Haram (suspected),2,1,"Military,Private Citizens & Property",Sub-Saharan Africa,Bombing/Explosion,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201302150003,"Two suspected bombers were killed when their explosive devices detonated en route to their target, a patrol of Joint Task Force (JTF) vehicles, near Maiduguri, Borno state, Nigeria. A soldier was injured and a vehicle was destroyed in the attack. No group claimed responsibility; however, Boko Haram is suspected.",acid
201210120004,2012-10-12,Pakistan,Parachinar,Tehrik-i-Taliban Pakistan (TTP),0,4,Private Citizens & Property,South Asia,Armed Assault,"Firearms,Chemical",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201210120004,"Assailants opened fire and threw acid on a bus in Parachinar village, Federally Administered Tribal Areas, Pakistan. Four students were injured in the attack, including one student who suffered a gunshot wound and two other students who were burned by acid. Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the incident.",acid
201210090048,2012-10-09,Pakistan,Durrani,Unknown,0,3,Transportation,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201210090048,"Assailants threw acid on a bus in Durrani area, Federally Administered Tribal Areas, Pakistan. Three people were injured in the attack. No group claimed responsibility for the incident.",acid
201108150013,2011-08-15,Nigeria,Maiduguri,Boko Haram (suspected),1,0,Police,Sub-Saharan Africa,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201108150013,"On Monday, in Maiduguri, Borno, Nigeria, one militant attempted to detonate a suicide vehicle borne improvised explosive device (SVBIED) at the police headquarters building. Nigerian police fired upon and killed the militant before the SVBIED could be detonated. The SVBIED was made from a Honda Accord car that had the registration number AP851ABJ, six 13.6 kilogram gas cylinders, each connected with wires, one air conditioner gas cylinder, two 25 liter jerry cans of fuel, one tin consisting of five liters of Abro, and one Acid Orange drum of 28 kilograms. No other casualties or damages occurred in the attempted bombing. No group claimed responsibility, but the militant group Boko Haram was thought to be responsible for the attack.",acid
201101180015,2011-01-18,Afghanistan,Kabul,Unknown,0,1,Journalists & Media,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201101180015,"On Tuesday night, in Kabul city, Kabul province, Afghanistan, an assailant attacked an Afghan journalist, Razaq Mamoon, with acid as he left his home. Mamoon suffered first degree burns which were not life threatening to 10 percent of his face and hands. No group claimed responsibility for the attack. A suspect, identified only as Rafiullah, admitted to attacking Mamoon and has been arrested.",acid
201004130015,2010-04-13,Pakistan,Dalbandin,Unknown,0,2,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201004130015,"On Tuesday, in Dalbandin town of Chagh, Balochistan, Pakistan, unidentified persons, who were riding a motorbike, threw acid on two girls identified as Gul Babo, 13, and Durjamal, 12. The girls were rushed to a nearby hospital, where doctors said their faces had been burnt severely. Residents of the area believe that this attack was carried out by the shadowy Baloch Ghaeratmand Group who had distributed flyers in the area, warning women and young girls to remain indoors. It also clearly warned women and girls against stepping out of their houses with their faces uncovered, or even going to a doctor unaccompanied by a man. ""Acid will be thrown on the faces of women and girls who step out of their houses without covering their faces,"" the flyer says. It ends with a chilling warning: ""People who fail to comply with these orders will themselves be responsible for the consequences."" No group claimed responsibility.""",acid
200908050010,2009-08-05,Pakistan,Chaman,Unknown,0,4,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200908050010,"On Wednesday, in Chaman, Balochistan, Pakistan, two religious party activists riding a motorcycle threw acid on two women, wounding both of them. The two accused were stopped by shopkeepers and beat up and taken to the Police Station Saddar. No group claimed responsibility.",acid
200906080006,2009-06-08,China,Mong Kok,Unknown,0,24,Private Citizens & Property,East Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200906080006,"On Monday evening at 1950, on Nelson Street and Sai Yeung Choi Street in the Mong Kok district, Hong Kong, China, a bottle containing corrosive liquid, acid, was thrown from the top of a building, injuring 24 pedestrians. No group claimed responsibility.",acid
200905160010,2009-05-16,China,Mong Kok,Unknown,0,30,Private Citizens & Property,East Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200905160010,"On Saturday, thirty people were treated for injuries in Hong Kong after they were splashed by a corrosive liquid. Two bottles of what is thought to be acid were either thrown or fell from a building into crowds of shoppers in the Mong Kok district. Those who received medical help - 14 women and 16 men - suffered burns to the legs, arms and faces. No groups claimed responsibility.",acid
200812130021,2008-12-13,Hong Kong,Mong Kok,Unknown,0,46,Private Citizens & Property,East Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200812130021,"On Saturday evening, at 1700, two large plastic bottles carrying acid were hurled into the Sai Yeung Choi Street South and Shantung Streets of Mong Kok district, Hong Kong.  A reported 46 persons were injured in the attack. The bottles were reportedly thrown from above. The two white bottles, each with a capacity of about 750ml, were kicked by pedestrians after they landed, making it more difficult to determine from where they had been thrown. Police officers with shields and helmets searched the Chung Kiu Commercial Building and other buildings near the scene, but five hours after the attack they had still not found any suspects. The injured had been treated in a hospital and had been released by 2200. No group claimed responsibility.",acid
200811120006,2008-11-12,Afghanistan,Kandahar,Haqqani Network,0,16,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200811120006,"On Wednesday, two male attackers on motorcycles used a water pistol to spray acid at schoolgirls in Afghanistan's southern city of Kandahar, injuring 16 people. There were no claims of responsibility.",acid
200807130004,2008-07-13,Cambodia,Phnom Penh,Unknown,0,1,Government (General),Southeast Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200807130004,"On Sunday, Ngor Srun, Secretary of State for the Cambodian Cabinet Office, was attacked by an unknown attacker who had dumped acid over Srun’s head at a garage where he had taken his car for repairs in Phnom Penh, Phnom Penh province, Cambodia. Following the attack, the assailant fled on his motorcycle. No claim of responsibility was made for the incident.",acid
200803070003,2008-03-07,Austria,Raab,Unknown,0,0,Government (General),Western Europe,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200803070003,"Another official in western Austria received a package containing acid when he opened it in Raab, Austria.  Authorities say the administrator opened the package, but was not injured by the corrosive liquid it contained.  Three other incidents occurred around the country where officials were sent packages containing butyric acid.  One of the officials was treated for burns to both hands and thighs after he opened the package.",acid
200801050017,2008-01-05,Tanzania,Dar es Salaam,Unknown,0,2,Journalists & Media,Sub-Saharan Africa,Armed Assault,"Melee,Chemical",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200801050017,"Unknown assailants attacked two journalists from a Tanzanian newspaper with acid and machetes.  Both were seriously injured and one was blinded by the acid. Mwana Halisi newspaper Editor Saeed Kubenea and consulting editor Ndimara Tegambwage were the names of the victims. The attackers reportedly entered Mwana Halisi's offices at around 9.00 p.m. (1800 gmt). Police arrested two suspected assailants named Hamis Almas Ramadhan, (25), resident of Mwananyamala B and Alfred Bernard Mushi alias Chambia (64) of Kinondoni-Luhumbo Street in the city. Kubenea suffered the acid injury while Tegambwage suffered several blows to the head from a machete.",acid
200711050021,2007-11-05,Thailand,Asiatia,Unknown,0,2,Police,Southeast Asia,Bombing/Explosion,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200711050021,"Insurgents placed a roadside bomb near the Asiatia railway station in Narathiwat, Thailand, targeting police. The bomb seriously injured two civilian passers-by. No group claimed responsibility for the attack.",acid
200604140008,2006-04-14,India,New Delhi,Lashkar-e-Taiba (LeT) (suspected),0,14,Religious Figures/Institutions,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200604140008,"Two low-intensity bombs kept in plastic bags detonated in quick succession near the water tank in the main courtyard of the Jama Masjid, India, when around either 1,000 people or far fewer depending on different sources had gathered for evening prayers. The first bomb exploded at 5:26 p.m. near the ablution pond, doing the most damage and causing panic when the second one went off seven minutes later about 15 ft. away, wounding 14 people in all. No group claimed responsibility for the attack, but investigators suspect the involvement of Lashkar-e-Taiba (LeT) bomb-maker Abdul Karim Tunda.",acid
200108070004,2001-08-07,India,Srinagar,Lashkar-e-Jhangvi,0,2,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200108070004,"Lashkar-e-Jhangvi (LeJ) claimed responsibility for an acid attack on two school girls outside their home in Srinagar, Jammu and Kashmir, India. The face of one girl, Kulsooma, was badly charred as a result of this incident.",acid
200108070002,2001-08-07,India,Sonamarg,Lashkar-e-Jhangvi,0,2,Educational Institution,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200108070002,"Lashkar-e-Jhangvi (LeJ) members threw acid on two female school teachers, who were attacked when they were returning from a picnic in Sonmarg, Jammu and Kashmir, India. One of them received severe burns on her face and chest.",acid
200007050003,2000-07-05,United Kingdom,Drumcree,Unknown,0,7,Police,Western Europe,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200007050003,"Officers in the Royal Ulster Constabulary were squirted with acid caustics in Drumcree, Northern Ireland.  Seven people were injured in the attack.",acid
200005190003,2000-05-19,Israel,Hebron,Unknown,0,0,Military,Middle East & North Africa,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200005190003,Unknown assailants filled six bottles with acid caustics meant for Israeli Defense Forces in Hebron.  No injuries were reported in the incident.,acid
200001040006,2000-01-04,Nigeria,Lagos,Odua Peoples' Congress (OPC),0,2,Police,Sub-Saharan Africa,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200001040006,"Two Nigerian police officers were targeted with acid caustics in Lagos, Nigeria.",acid
199910090001,1999-10-09,Spain,Barakaldo,Unknown,0,0,Government (General),Western Europe,Facility/Infrastructure Attack,Incendiary,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199910090001,"In Barakaldo, Biscay Province, Spain, unidentified perpetrators threw a number of petrol bombs at the Spanish post office on Arana Street. The devices hit the front of the building, causing damage, but no injuries. Also as a result of the attack, two vehicles parked nearby were damaged by the acid contained in the incendiary devices.",acid
199908020004,1999-08-02,India,Unknown,Unknown,2,0,Religious Figures/Institutions,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199908020004,"Archbishop Mar Jacob Thoomkuzhy and an assisting priest were both killed in Kerala, India when their altar wine was poisoned.",acid
199905130002,1999-05-13,Germany,Bielefeld,Unknown,0,1,Government (Diplomatic),Western Europe,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199905130002,"A paint bomb containing butyric acid was thrown at German Foreign Minister Joschka Fischer in Bielefeld, Germany, by an unknown perpetrator. The projectile hit the Minister in the right ear, injuring him.",acid
199805120002,1998-05-12,Colombia,Bogota,National Liberation Army of Colombia (ELN),1,0,Military,South America,Armed Assault,Firearms,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199805120002,"Retired General Fernando Landazabal Reyes was shot and killed outside of his home in northern Bogota, Colombia, by two paid assassins, suspected of being members of the ""Domingo Lain"" guerilla front of the National Liberation Army (NLA).""",acid
199805110004,1998-05-11,Bulgaria,Sofia,Unknown,0,1,Journalists & Media,Eastern Europe,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199805110004,"Anna Zarkova, a journalist for the Trud paper in Sofia, Bulgaria, was assaulted with acid as she waited at a bus stop. She suffered extensive burns to her face, neck, and hands. This attack was in retaliation for Ms. Zarkova's investigative reporting and was meant to intimidate like-minded journalists. One unidentified man was eventually captured and connected to the crime.",acid
199410070006,1994-10-07,West Bank and Gaza Strip,Hebron,Unknown,1,2,Military,Middle East & North Africa,Armed Assault,"Chemical,Melee",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199410070006,NA,acid
199212080019,1992-12-08,India,Bombay,Muslim Militants,115,0,Private Citizens & Property,South Asia,Armed Assault,"Incendiary,Melee,Chemical",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199212080019,NA,acid
199205060022,1992-05-06,Peru,Lima,Shining Path (SL),30,36,Police,South America,Bombing/Explosion,"Firearms,Explosives/Bombs/Dynamite,Chemical",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199205060022,NA,acid
199108160004,1991-08-16,India,Tiruchirappalli,All India Anna Dravida Munetra Kazgan Party,0,3,Government (General),South Asia,Assassination,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199108160004,NA,acid
199108070011,1991-08-07,West Bank and Gaza Strip,Nablus,Palestinians,0,2,Police,Middle East & North Africa,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199108070011,NA,acid
199108050008,1991-08-05,Peru,Mosoc Llacta,Shining Path (SL),3,0,Private Citizens & Property,South America,Assassination,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199108050008,NA,acid
199002170002,1990-02-17,West Bank and Gaza Strip,Gaza,Palestinians,0,0,Military,Middle East & North Africa,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199002170002,NA,acid
198705310003,1987-05-31,Afghanistan,Unknown,Afghan Mujahideen,0,2,Private Citizens & Property,South Asia,Unarmed Assault,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=198705310003,NA,acid
198701140005,1987-01-14,United Kingdom,Sheffield,Animal Rights extremists,0,0,Private Citizens & Property,Western Europe,Facility/Infrastructure Attack,"Incendiary,Melee,Chemical,Incendiary",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=198701140005,NA,acid
198110110002,1981-10-11,Peru,Huancayo,Shining Path (SL),4,5,Police,South America,Bombing/Explosion,"Explosives/Bombs/Dynamite,Chemical,Firearms,Firearms",http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=198110110002,NA,acid
197907090005,1979-07-09,Brazil,Belo Horizonte,Unknown,0,0,Journalists & Media,South America,Facility/Infrastructure Attack,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=197907090005,NA,acid
197904250007,1979-04-25,West Germany (FRG),Frankfurt,Right-wing extremists (suspected),0,0,Private Citizens & Property,Western Europe,Facility/Infrastructure Attack,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=197904250007,NA,acid
197602040001,1976-02-04,West Germany (FRG),Nuremberg,Unknown,0,0,Transportation,Western Europe,Facility/Infrastructure Attack,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=197602040001,NA,acid
197512100002,1975-12-10,West Germany (FRG),Frankfurt,Unknown,0,0,Transportation,Western Europe,Facility/Infrastructure Attack,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=197512100002,NA,acid
197511120003,1975-11-12,West Germany (FRG),Frankfurt,Unknown,0,0,Transportation,Western Europe,Facility/Infrastructure Attack,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=197511120003,NA,acid
197510180002,1975-10-18,West Germany (FRG),Munich,Unknown,0,0,Transportation,Western Europe,Facility/Infrastructure Attack,Chemical,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=197510180002,NA,acid
201602120085,2016-02-12,India,Sawombung,Unknown,0,2,Business,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201602120085,"An improvised explosive device (IED) detonated at a bridge construction site in Sawombung village, Manipur, India. Two construction workers were wounded in the attack. No group claimed responsibility for the attack.",ied
201411160024,2014-11-16,Pakistan,Panjgur district,Baloch Republican Army (BRA),0,0,Business,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201411160024,"An explosive device detonated near a Frontier Works Organization (FWO) vehicle convoy in Shu Charhai area, Panjgur district, Balochistan province, Pakistan. There were no reported casualties in the blast. The Baloch Republican Army (BRA) claimed responsibility for the incident.",ied
201410010031,2014-10-01,Afghanistan,Kunduz,Unknown,0,6,"Police,Private Citizens & Property",South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201410010031,"An explosive device attached to a police vehicle detonated in Kunduz city, Kunduz province, Afghanistan. At least six civilians were wounded in the blast. No group claimed responsibility for the incident.",ied
201204060009,2012-04-06,Afghanistan,Washir district,Taliban,1,0,Police,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201204060009,"An explosive device detonated near a police headquarters in Washer district, Helmand province, Afghanistan. One police officer was killed in the explosion. The Taliban claimed responsibility for the incident.",ied
201204010003,2012-04-01,Afghanistan,Tarin Kot,Taliban,2,0,Police,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201204010003,"An explosive device detonated in Tarin Kot district, Uruzgan province, Afghanistan. A police commander and his bodyguard were killed in the blast. The Taliban claimed responsibility for the attack.",ied
201202260023,2012-02-26,Afghanistan,Tarin Kot,Unknown,1,2,Police,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201202260023,"A police vehicle hit a roadside bomb in Speelangi area, Tarin Kot city, Uruzgan province, Afghanistan. One officer was killed and two more wounded. No group claimed responsibility for the attack.",ied
201202110022,2012-02-11,Afghanistan,Alishing,Taliban,0,5,Military,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201202110022,"A roadside bomb detonated in Alishang district, Laghman province, Afghanistan. Five Afghan National Army (ANA) soldiers were wounded, and their vehicle was damaged. The Taliban claimed responsibility for the attack.",ied
201202110020,2012-02-11,Afghanistan,Sangin district,Taliban,0,3,Police,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201202110020,"An explosive device detonated in Sangin district, Helmand province, Afghanistan. Three police officers were wounded in the blast. No group claimed responsibility for the attack; however, sources attributed it to the Taliban.",ied
201112280019,2011-12-28,Afghanistan,Unknown,Unknown,3,Unknown,Military,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201112280019,"Three International Security Assistance Force (ISAF) soldiers were killed when an explosive device detonated in eastern Afghanistan. No additional injuries or property damage were reported, and no group claimed responsibility for the incident.",ied
201112240025,2011-12-24,Pakistan,Bannu,Tehrik-i-Taliban Pakistan (TTP),7,12,"Military,Military",South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201112240025,"A suicide car bomb attack targeted a camp of the Frontier Corps in Bannu city, Bannu district of Khyber Pakhtunkhwa province, Pakistan, killing 6 soldiers and wounding 12 others. The attack caused significant property damage, including damage to the main camp office. A spokesman for Tehrik-i-Taliban Pakistan (TTP) claimed responsibility for the attack, which the group claimed was done in response to the killing of a local Taliban commander in a U.S. drone strike.",ied
201112220064,2011-12-22,Afghanistan,Unknown,Unknown,1,Unknown,Military,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201112220064,"In eastern Afghanistan, an International Security Assistance Force (ISAF) soldier was killed in a bomb attack . No additional injuries or property damage were reported, and no group claimed responsibility for the attack.",ied
201112220039,2011-12-01,Pakistan,Umar kaley,Unknown,1,3,Private Citizens & Property,South Asia,Bombing/Explosion,Explosives/Bombs/Dynamite,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=201112220039,"A child discovered an IED disguised as a toy around 12/24/2011 and brought it back to his home in Umar, Khyber, Pakistan.  At the child's home, the device exploded killing a man, Sadam Khan, and wounding three children.  No claim of responsibility was reported.",ied
